Corpus,Prompt,dataset,data column,data column classification,data value column,data value,Visual Task,ambiguous term,ambiguity reason,data transforms-keyword,data Transforms,new column name,derivation specified
NLVCorpus,What major genre had the highest average worldwide gross?,Movies,,,,,,,,,,,
NLVCorpus,What major genre had the lowest average worldwide gross?,Movies,,,,,,,,,,,
NLVCorpus,How much did average worldwide gross vary by major genre?,Movies,,,,,,,,,,,
NLVCorpus,How many movies are there are of each creative type?,Movies,,,,,,,,,,,
NLVCorpus,Which creative type had the most movies?,Movies,,,,,,,,,,,
NLVCorpus,Which creative type had the fewest movies?,Movies,,,,,,,,,,,
NLVCorpus,What is the total worldwide gross for each major genre across time?,Movies,,,,,,,,,,,
NLVCorpus,Is there a relationship between production budget and worldwide gross for each content rating?,Movies,,,,,,,,,,,
NLVCorpus,What is the distribution of running times for each movie?,Movies,,,,,,,,,,,
NLVCorpus,Is there a relationship between IMDB rating and rotten tomatoes rating?,Movies,,,,,,,,,,,
NLVCorpus,Does higher horsepower mean lower acceleration?,Cars,,,,,,,,,,,
NLVCorpus,How many cylinders do cars manufactured in different countries have?,Cars,,,,,,,,,,,
NLVCorpus,Compare car cylinder count against acceleration across countries,Cars,,,,,,,,,,,
NLVCorpus,How many cars do each country manufacture?,Cars,,,,,,,,,,,
NLVCorpus,What's the mileage for cars based on the number of cylinders present?,Cars,,,,,,,,,,,
NLVCorpus,Does higher cylinder count mean mean lower mileage?,Cars,,,,,,,,,,,
NLVCorpus,How does mileage relate to cylinder count?,Cars,,,,,,,,,,,
NLVCorpus,What were the total sales for each date in each category?,Superstore,,,,,,,,,,,
NLVCorpus,How much was sold each day for each category?,Superstore,,,,,,,,,,,
NLVCorpus,What is the average profit for each state?,Superstore,,,,,,,,,,,
NLVCorpus,What is the relationship between profit and sales?,Superstore,,,,,,,,,,,
NLVCorpus,What is the average profit of each ship mode divided by segment?,Superstore,,,,,,,,,,,
NLVCorpus,What is the sales forecast for each date?,Superstore,,,,,,,,,,,
NLVCorpus,How many orders were placed for each order quantity?,Superstore,,,,,,,,,,,
NLVCorpus,What is the relationship between sales and profit for each region?,Superstore,,,,,,,,,,,
NLVCorpus,How many orders were placed for each sub-category?,Superstore,,,,,,,,,,,
NLVCorpus,"What is the total profit for each region, based on ship status?",Superstore,,,,,,,,,,,
NLVCorpus,what is the average MPG for different cylinders,Cars,,,,,,,,,,,
NLVCorpus,What is the relation between horsepower and acceleration,Cars,,,,,,,,,,,
NLVCorpus,how weight varies each year,Cars,,,,,,,,,,,
NLVCorpus,how is acceleration related to horsepower,Cars,,,,,,,,,,,
NLVCorpus,How has horsepower changed over time by country?,Cars,,,,,,,,,,,
NLVCorpus,Movie run time distribution,Movies,,,,,,,,,,,
NLVCorpus,Have cars gotten lighter over time?,Cars,,,,,,,,,,,
NLVCorpus,How production budge changes over release years?,Movies,,,,,,,,,,,
NLVCorpus,What was the average production budget of movies by year?,Movies,,,,,,,,,,,
NLVCorpus,"What's the average production budget of the different rated movies, separated by creative type.",Movies,,,,,,,,,,,
NLVCorpus,Which genre movie makes most worldwide gross,Movies,,,,,,,,,,,
NLVCorpus,Are IMDb rating and rotten tomatoes rating related,Movies,,,,,,,,,,,
NLVCorpus,what is the sales trend of the different product categories?,Superstore,,,,,,,,,,,
NLVCorpus,How many products have 3 or more quantity ordered ?,Superstore,,,,,,,,,,,
NLVCorpus,How many products are ordered in single quantity ?,Superstore,,,,,,,,,,,
NLVCorpus,Density of sales across regions and their profitability,Superstore,,,,,,,,,,,
NLVCorpus,What are the profits across different states?,Superstore,,,,,,,,,,,
NLVCorpus,What product category has more orders placed?,Superstore,,,,,,,,,,,
NLVCorpus,sales forecast between Jan 2016 and July 2017,Superstore,,,,,,,,,,,
NLVCorpus,what is the worldwide gross distribution per genre,Movies,,,,,,,,,,,
NLVCorpus,what's the breakdown of production budget by creative type per content rating?,Movies,,,,,,,,,,,
NLVCorpus,I want to know how many orders there are by the quantity of the order,Superstore,,,,,,,,,,,
NLVCorpus,What is our profit based on shipping mode by customer segment?,Superstore,,,,,,,,,,,
NLVCorpus,how does Rotten Tomatoes Rating change as IMDB Rating?,Movies,,,,,,,,,,,
NLVCorpus,What is the total worldwide gross earned by each major genre and content rating?,Movies,,,,,,,,,,,
NLVCorpus,"For each genre and rating, what is the total world-wide gross earnings?",Movies,,,,,,,,,,,
NLVCorpus,How much did each type of movie earn in across the whole world?,Movies,,,,,,,,,,,
NLVCorpus,How much money did movies of each genre and rating make?,Movies,,,,,,,,,,,
NLVCorpus,"What was the average budget for each content rating and creative type, as multiple column charts",Movies,,,,,,,,,,,
NLVCorpus,What is the average production budget in each year,Movies,,,,,,,,,,,
NLVCorpus,Compare imdb rating to rotten tomatoes rating,Movies,,,,,,,,,,,
NLVCorpus,Which creative types have the most movies?,Movies,,,,,,,,,,,
NLVCorpus,"On average, how much was earned by movies of each genre?",Movies,,,,,,,,,,,
NLVCorpus,How many movies are of each length?,Movies,,,,,,,,,,,
NLVCorpus,What is the sales vs profit ratio of the four regions,Superstore,,,,,,,,,,,
NLVCorpus,What is the average profit of each state,Superstore,,,,,,,,,,,
NLVCorpus,What is the sales vs profit ratio of all the zones,Superstore,,,,,,,,,,,
NLVCorpus,What is the average profit of different segments on the ship modes of transport,Superstore,,,,,,,,,,,
NLVCorpus,how much is the profit for sales for each,Superstore,,,,,,,,,,,
NLVCorpus,Help me see outliers in IMDB and Rotten Tomatoes ratings,Movies,,,,,,,,,,,
NLVCorpus,What was the average worldwide gross of movies by genre?,Movies,,,,,,,,,,,
NLVCorpus,how many models are proudced by each country,Cars,,,,,,,,,,,
NLVCorpus,what is the average weight of cars over time,Cars,,,,,,,,,,,
NLVCorpus,How much did major genres gross in total,Movies,,,,,,,,,,,
NLVCorpus,gross across genres regarding content rating,Movies,,,,,,,,,,,
NLVCorpus,What is the distribution of weight across all cars?,Cars,,,,,,,,,,,
NLVCorpus,How much do various cars weigh?,Cars,,,,,,,,,,,
NLVCorpus,What is the range of weights for all cars?,Cars,,,,,,,,,,,
NLVCorpus,What is the correlation between sales and profit by region,Superstore,,,,,,,,,,,
NLVCorpus,what's the distribution of running times by movie,Movies,,,,,,,,,,,
NLVCorpus,how many movies are there in 20 minute bins of running time,Movies,,,,,,,,,,,
NLVCorpus,how many movies are there for each creative type,Movies,,,,,,,,,,,
NLVCorpus,which creative types had the most movies?,Movies,,,,,,,,,,,
NLVCorpus,Show me the variation in the amount ordered by different entities in different orders,Movies,,,,,,,,,,,
NLVCorpus,relation between rotten tomatoes rating and IMDB rating,Movies,,,,,,,,,,,
NLVCorpus,relation between rotten tomatoes and IMDB ratings,Movies,,,,,,,,,,,
NLVCorpus,worldwide gross for each genre for each year 1995 to now,Movies,,,,,,,,,,,
NLVCorpus,how many films of each creative type,Movies,,,,,,,,,,,
NLVCorpus,"Cumulative gross for each content rating, by major genre",Movies,,,,,,,,,,,
NLVCorpus,Relation between worldwide gross and production budget for each major genre,Movies,,,,,,,,,,,
NLVCorpus,where do the cars originate from?,Cars,,,,,,,,,,,
NLVCorpus,How has AVG (Horsepower) evolved over time? | Segregate it by the car origin.,Cars,,,,,,,,,,,
NLVCorpus,Compare AVG (Acceleration) with Cylinders. | Segregate the cylinders by their origin.,Cars,,,,,,,,,,,
NLVCorpus,How does AVG (Weight) evolve over the years?,Cars,,,,,,,,,,,
NLVCorpus,Relationship of Rotten Tomatoes rating to IMDB rating.,Movies,,,,,,,,,,,
NLVCorpus,Can you create a graph showing sales and profit by region?,Superstore,,,,,,,,,,,
NLVCorpus,How does the acceleration of cars from different countries vary by the number of cylinders?,Cars,,,,,,,,,,,
NLVCorpus,How does acceleration vary by weight for cars from different regions?,Cars,,,,,,,,,,,
NLVCorpus,What is the average MPG for cars with different cylinders?,Cars,,,,,,,,,,,
NLVCorpus,How does MPG vary by the number of cylinders in a car?,Cars,,,,,,,,,,,
NLVCorpus,How does acceleration change with horsepower?,Cars,,,,,,,,,,,
NLVCorpus,How does acceleration behave compared to horsepower?,Cars,,,,,,,,,,,
NLVCorpus,How many cars are from each region?,Cars,,,,,,,,,,,
NLVCorpus,"how does MPG compare to displacement, broken out by region?",Cars,,,,,,,,,,,
NLVCorpus,"For each region, how does a car's MPG vary with displacement?",Cars,,,,,,,,,,,
NLVCorpus,How has horsepower changed over time in each region?,Cars,,,,,,,,,,,
NLVCorpus,what is the breakdown of cars by the number of cylinders in each region?,Cars,,,,,,,,,,,
NLVCorpus,How many cars have various numbers of cylinders in each region?,Cars,,,,,,,,,,,
NLVCorpus,What is the average weight of cars by model year?,Cars,,,,,,,,,,,
NLVCorpus,How has the average weight of cars changed over the years?,Cars,,,,,,,,,,,
INFOVIS Class,What months are hurricanes most common?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Where are storms most common depending on the time of year?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Are there more storms in recent years?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What does the distribution of the storms look like?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the most frequent status over the year?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,"What is the main factor depending on different status? (wind, time, pressure, or etc.?)",Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What was the name of the earliest storm?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,How many hurricanes?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the name of the largest storm,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What storm produced the greatest air pressure?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,How many storms are named Caroline?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What storm produced the least air pressure?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What storm had the greatest diameter of tropical storm strength winds?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What storm had the greatest diameter of hurricane strength winds?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,"How many storms occur per year, on average?",Atlantic Storms,,,,,,,,,,,
INFOVIS Class,"On average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year?",Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Is there a correlation between wind speed and air pressure?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Is there a correlation between the duration of the storm and wind speed?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Where have all hurricanes been recorded on the globe? Where are they more common?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What lat/long locations are most likely to experience hurricanes?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What are lengths/timings of hurricane seasons in different regions of the world?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the average storm length?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the average time that it takes to go from depression to storm?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,"What is the relationship, if any, between wind and pressure?",Atlantic Storms,,,,,,,,,,,
INFOVIS Class,How does wind change over the course of each hurricane?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Average tropical storm diameter?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the relationship between storm day and hu_diameter?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Are there any repeat names of storms?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What month has the strongest hurricanes,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,How has wind speed changed over time,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the maximum pressure of a certain hurricane?,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Relationship between position and the strength of the hurricane,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Average time for each hurricane status,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,Which hurricane lasted the longest,Atlantic Storms,,,,,,,,,,,
INFOVIS Class,What is the relationship between level of education and crime rate?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are there any visible trends in violent crime rates over the time period?,GunViolence,,,,,,,,,,,
INFOVIS Class,What is the most frequent place of violent crime?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are there any correlations between crime types and geographic location?,GunViolence,,,,,,,,,,,
INFOVIS Class,What is the distribution for non-violent crimes based on age?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are there any correlations in violent or non-violent crimes based on congressional district and year?,GunViolence,,,,,,,,,,,
INFOVIS Class,Is there a somewhat even distribution between the year and congressional district?,GunViolence,,,,,,,,,,,
INFOVIS Class,What city has the highest crime rate?,GunViolence,,,,,,,,,,,
INFOVIS Class,How many gun violence incidents are there each year?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are there any significant correlations between any 2 variables in the dataset?,GunViolence,,,,,,,,,,,
INFOVIS Class,How many incidents of gun violence result in death? (I.e. what proportion are fatal vs. non-fatal?),GunViolence,,,,,,,,,,,
INFOVIS Class,What’s the frequency of gun violence incidents with multiple victims?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are males or females more likely to die of gun violence?,GunViolence,,,,,,,,,,,
INFOVIS Class,Is one sex more likely to perpetrate gun violence?,GunViolence,,,,,,,,,,,
INFOVIS Class,Is more gun violence committed with stolen guns or non stolen guns,GunViolence,,,,,,,,,,,
INFOVIS Class,How have homicide rates increased over time?,GunViolence,,,,,,,,,,,
INFOVIS Class,What type of gun violence has seen the most growth over the years?,GunViolence,,,,,,,,,,,
INFOVIS Class,Are most gun death because of suicide?,GunViolence,,,,,,,,,,,
INFOVIS Class,Did most gun violence happen inside home,GunViolence,,,,,,,,,,,
INFOVIS Class,What is the correlation between education levels and suicide rates?,GunViolence,,,,,,,,,,,
INFOVIS Class,Which state/year has the most gun deaths?,GunViolence,,,,,,,,,,,
Quda,show me a list of neighborhoods with the number of male births from least to most .,births,,,,,,,,,,,
Quda,what is the total number of categories ?,googleplaystore,,,,,,,,,,,
Quda,"according to population , what is the rank of each of region ?",HFS,,,,,,,,,,,
Quda,give me the movie that received the most nominations,golden_globe_awards,,,,,,,,,,,
Quda,is there an outlier within the value distribution of albinism that causes the result to be skewed ?,Genetic disease,,,,,,,,,,,
Quda,can you tell me the total number of categories ?,googleplaystore,,,,,,,,,,,
Quda,they want to know what tactic is most effective during football .,shooting_player_info,,,,,,,,,,,
Quda,can lower study times among students cause greater failure rates in class ?,student-mat,,,,,,,,,,,
Quda,"find all the types of genetic diseases with greater than 1,000 patients .",Genetic disease,,,,,,,,,,,
Quda,"what 's the size of "" kids paint free - drawing fun "" ?",googleplaystore,,,,,,,,,,,
Quda,name me a country that 's happiness score does not coincide with the region it belongs to .,World Happiness Report 2015,,,,,,,,,,,
Quda,show me the distribution of births across all districts in 2017 .,births,,,,,,,,,,,
Quda,tell me the distribution for the book ratings,google_books_dataset,,,,,,,,,,,
Quda,"in terms of the readings , group the similar timestamps for the sants .",air_quality_Nov2017,,,,,,,,,,,
Quda,in the premier league how are the transferred players ages distributed ?,top250-00-19,,,,,,,,,,,
Quda,let me know if there are groups of neighborhoods with similar birth gender ratios .,births,,,,,,,,,,,
Quda,name movies released in 2017 .,netflix_titles,,,,,,,,,,,
Quda,tell me the maximum and minimum number of patients with autism across all regions .,Genetic disease,,,,,,,,,,,
Quda,"what is the percentage of the white population in blount county , alabama ?",population,,,,,,,,,,,
Quda,can you tell me the sales distribution of type 4046 in 2015,avocado,,,,,,,,,,,
Quda,determine in what year the income of undergraduate students was higher ?,Undergraduate_Postgraduate,,,,,,,,,,,
Quda,what is the number of hospitals located in manyara ?,HFS,,,,,,,,,,,
Quda,do you know which videos have more than 100 tags ?,JPvideos,,,,,,,,,,,
Quda,what differences are there among the students who acquired more than 270 points between 2010 -2019 ?,grade-records,,,,,,,,,,,
Quda,tell me a reason why top backcourt players have a higher market value than the top frontcourt player .,top250-00-19,,,,,,,,,,,
Quda,tell me the country with the lowest trust score,World Happiness Report 2015,,,,,,,,,,,
Quda,which player had an abnormal transfer_fee ?,top250-00-19,,,,,,,,,,,
Quda,"provide the total sum of all the separated , divorced , and widowed people in lindi .",marry,,,,,,,,,,,
Quda,"in the videos by "" eminemvevo "" , what are the average number of comments made ?",JPvideos,,,,,,,,,,,
Quda,"out of the winners for best performance by an actor in a motion picture - musical or comedy from 2003 to 2020 , the most abnormal age belongs to which actor ?",golden_globe_awards,,,,,,,,,,,
Quda,can you see any abnormalities in the suicide rates ?,Suicide,,,,,,,,,,,
Quda,is the normal distribuition satisfied by the length of the movies ?,netflix_titles,,,,,,,,,,,
Quda,does a app exist that is much different than the others ?,googleplaystore,,,,,,,,,,,
Quda,is there a correlation between happiness scores and other attributes ?,World Happiness Report 2015,,,,,,,,,,,
Quda,can you name an unusual reason for choosing this school ?,student-mat,,,,,,,,,,,
Quda,i want to see the distribution of the school rankings in geita in 2006 .,schools,,,,,,,,,,,
Quda,sort the movies by length .,netflix_titles,,,,,,,,,,,
Quda,can you rearrange the table by book rating in descending order ?,google_books_dataset,,,,,,,,,,,
Quda,what books have low ratings that seem suspect,google_books_dataset,,,,,,,,,,,
Quda,name the country with the lowest suicide rate .,Suicide,,,,,,,,,,,
Quda,do you know the average number of suicides in europe ?,Suicide,,,,,,,,,,,
Quda,what is the average height of the floors of these buildings ?,list-of-top-100-tallest-buildings,,,,,,,,,,,
Quda,the oldest user was born in what year ?,bike,,,,,,,,,,,
Quda,what are the groups of regions according to three types of avocados sales ratio ?,avocado,,,,,,,,,,,
Quda,filter all the videos published before yesterday .,JPvideos,,,,,,,,,,,
Quda,do the pass rate and the ownership of schools have any correlation ?,schools,,,,,,,,,,,
Quda,"can you tell me , in terms of economy , what is the range across all countries ?",World Happiness Report 2015,,,,,,,,,,,
Quda,"for o3 , what is the distribution value ?",air_quality_Nov2017,,,,,,,,,,,
Quda,what is the total amount of genres ?,googleplaystore,,,,,,,,,,,
Quda,could you show me the list sorted by study time ( longest to shortest ) .,student-mat,,,,,,,,,,,
Quda,"what countries , other than finland , have higher happiness scores and lower gdp ?",World Happiness Report 2015,,,,,,,,,,,
Quda,how long is the run time of average r -rated movies ?,netflix_titles,,,,,,,,,,,
Quda,which position has the highest average of playing time ?,nba-players-by-fouls-per-game,,,,,,,,,,,
Quda,"if you were to average it out , how upbeat would you say the songs are ?",top50,,,,,,,,,,,
Quda,what is the title of the biggest app ?,googleplaystore,,,,,,,,,,,
Quda,"when the score difference is more than 5 , please list the extreme matches to this .",International football results from 1872 to 2019,,,,,,,,,,,
Quda,are there any countries with anomalously low suicides rates ?,Suicide,,,,,,,,,,,
Quda,which videos are missing thumbnail links ?,JPvideos,,,,,,,,,,,
Quda,retrieve the neighborhood with more than 100 female births in ciutat vella in 2013 .,births,,,,,,,,,,,
Quda,what apps have a perfect rating and a lot of reviews ?,googleplaystore,,,,,,,,,,,
Quda,can you organize the results of the table by sorting the list according to the age of the stars ?,golden_globe_awards,,,,,,,,,,,
Quda,tell me the book ratings distribution .,google_books_dataset,,,,,,,,,,,
Quda,"can you list all the results in the table about the movie "" about schmidt ? """,golden_globe_awards,,,,,,,,,,,
Quda,find the distribution by age .,student-mat,,,,,,,,,,,
Quda,can you tell me the area in the previous decade that increased rapidly in the happiness score ?,World Happiness Report 2015,,,,,,,,,,,
Quda,tell me all of the categories of grade types .,grade-records,,,,,,,,,,,
Quda,create a list of schools showing the descending order by change_p .,schools,,,,,,,,,,,
Quda,is there similarities between gdp per capita and suicide rates ?,Suicide,,,,,,,,,,,
Quda,""" plush - bad unboxing fan mail "" belongs to which specific channel ?",JPvideos,,,,,,,,,,,
Quda,which author has worked with dark horse comics most frequently ?,google_books_dataset,,,,,,,,,,,
Quda,which neighborhood in ciutat vella has more than 100 females born in the year 2013 ?,births,,,,,,,,,,,
Quda,show me any clustering there may be in the gdp that has a happiness score of larger than 5 .,World Happiness Report 2015,,,,,,,,,,,
Quda,within the last year have any countries experienced a sudden decrease in happiness score ?,World Happiness Report 2015,,,,,,,,,,,
Quda,can you tell me the range of happiness score in western europe ?,World Happiness Report 2015,,,,,,,,,,,
Quda,"out of all the countries , which ones have a happiness score higher then finland ?",World Happiness Report 2015,,,,,,,,,,,
Quda,see if you can locate the most recent gaming app,googleplaystore,,,,,,,,,,,
Quda,give me the numbers of movies that were released in 2017 .,netflix_titles,,,,,,,,,,,
Quda,tell me free or paid apps have a higher mean rating .,googleplaystore,,,,,,,,,,,
Quda,how can the population of ashley be illustrated to show distribution across five years ?,co-est2002-01-05,,,,,,,,,,,
Quda,can you tell me in what range will the number of countries in each region fall ?,World Happiness Report 2015,,,,,,,,,,,
Quda,which 10 regions have the most health centers ?,HFS,,,,,,,,,,,
Quda,please indicate the friendly tournament matches in which the home team beat the away team .,International football results from 1872 to 2019,,,,,,,,,,,
Quda,tell me all the tournament matches that the home team won against the away team .,International football results from 1872 to 2019,,,,,,,,,,,
Quda,"from all of the universities in london , list the one who has the most faculties .",top-50-us-universities,,,,,,,,,,,
Quda,is there a regional concentration trend in gdp development ?,european-gdp-and-containerized-tra-2,,,,,,,,,,,
Quda,what is the spatial and temporal correlation of albinism ?,Genetic disease,,,,,,,,,,,
Quda,please identify the parameters of the happiness score in western europe .,World Happiness Report 2015,,,,,,,,,,,
Quda,were you aware of the most recent news ?,shooting_player_info,,,,,,,,,,,
Quda,what was the gender of all actors among all the final winners in the 60th ceremony ?,golden_globe_awards,,,,,,,,,,,
Quda,show all the countries with happiness scores higher than 5 .,World Happiness Report 2015,,,,,,,,,,,
Quda,indicate all the travels taking more than 1000 minutes .,bike,,,,,,,,,,,
Quda,how are postgraduate student numbers distributed every year ?,Undergraduate_Postgraduate,,,,,,,,,,,
Quda,how old was david when he was transferred in 2010 ?,top250-00-19,,,,,,,,,,,
Quda,"what percentage of the blount county , alabama population is white ?",population,,,,,,,,,,,
Quda,describe the popularity of the loudest song .,top50,,,,,,,,,,,
Quda,tell me who won the best performance by an actor in a motion picture - drama award at the 60th ceremony .,golden_globe_awards,,,,,,,,,,,
Quda,i would like to review the dispersement of the amount of nominations .,golden_globe_awards,,,,,,,,,,,
Quda,"in the whole table , show me the best record of pm10",air_quality_Nov2017,,,,,,,,,,,
Quda,the clubs should be arranged by their shooting attempts .,shooting_player_info,,,,,,,,,,,
Quda,which genres are included in the dataset ?,googleplaystore,,,,,,,,,,,
Quda,can you help me find some popular songs ?,top50,,,,,,,,,,,
Quda,what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010 ?,life-expectancy-by-state,,,,,,,,,,,
Quda,please go and get all of the books written in english,google_books_dataset,,,,,,,,,,,
Quda,do countries with high populations wish to slow down population growth ?,sub-est2002-01,,,,,,,,,,,
Quda,were there any countries with abnormally low suicide rates,Suicide,,,,,,,,,,,
Quda,"based on their pollution , group the locations together that are similar .",air_quality_Nov2017,,,,,,,,,,,
Quda,name the continent that contains the greatest number of countries that are top 10 on the happiness index ?,World Happiness Report 2015,,,,,,,,,,,
Quda,sort all the counties in connecticut by the percentages of the hispanic population .,population,,,,,,,,,,,
Quda,"with the suicide larger than 100 , determine the ages in albania .",Suicide,,,,,,,,,,,
Quda,do any countries have happiness scores that don 't match with their gdp ?,World Happiness Report 2015,,,,,,,,,,,
Quda,the country with the lowest suicide rate is ?,Suicide,,,,,,,,,,,
Quda,which video has the most tags ?,JPvideos,,,,,,,,,,,
Quda,look up regions that names start with the letter a .,HFS,,,,,,,,,,,
Quda,"give me a list of videos , ordered by the number of likes , that are on the channel "" eminemvevo """,JPvideos,,,,,,,,,,,
Quda,which group of nations won the most games ?,International football results from 1872 to 2019,,,,,,,,,,,
Quda,is there an average run time for movies ?,netflix_titles,,,,,,,,,,,
Quda,what is the distribution rate of suicide ?,Suicide,,,,,,,,,,,
Quda,"in the 60th ceremony , the award for best performance by an actor in a motion picture was won by whom ?",golden_globe_awards,,,,,,,,,,,
Quda,which apps have support for versions of android lower than 4.0 ?,googleplaystore,,,,,,,,,,,
Quda,are there outliers in the book ratings ?,google_books_dataset,,,,,,,,,,,
Quda,tell me which county has the greatest number of female residents .,population,,,,,,,,,,,
Quda,"of all the countries trust score , which country has the lowest ?",World Happiness Report 2015,,,,,,,,,,,
Quda,"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚Äì2011 ?",top250-00-19,,,,,,,,,,,
Quda,"how likely is it that , if i was born in 2000 , i was born in a county with no less than 20,000 people ?",co-est2002-01-05,,,,,,,,,,,
Quda,show me the video with the highest number of tags,JPvideos,,,,,,,,,,,
Quda,make a list of the number of total hfs in descending order .,HFS,,,,,,,,,,,
Quda,does simiyu have a similar structure of peope as that of katavi ?,marry,,,,,,,,,,,
Quda,what is the average count of hospitals ?,HFS,,,,,,,,,,,
Quda,"show me a list of the tripe that take longer than 1,000 minutes .",bike,,,,,,,,,,,
Quda,which actor was nominated for the most awards ?,golden_globe_awards,,,,,,,,,,,
Quda,use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students .,grade-records,,,,,,,,,,,
Quda,please look at the o3 data and find the minimum number .,air_quality_Nov2017,,,,,,,,,,,
Quda,calculate the average black population for each state .,population,,,,,,,,,,,
Quda,"for the center forward position , what was the highest market value for the 2011 -2012 season ?",top250-00-19,,,,,,,,,,,
Quda,describe shape of the distribution for the number of installations,googleplaystore,,,,,,,,,,,
Quda,compare the number of tall buildings in hong kong with taiwan .,list-of-top-100-tallest-buildings,,,,,,,,,,,
Quda,what location has the highest number of tall buildings ?,list-of-top-100-tallest-buildings,,,,,,,,,,,
Quda,what did the majority of students receive as a grade ?,grade-records,,,,,,,,,,,
