gpt_query,gpt_positive match,gpt_llm match,gpt_gt match,gpt_resolution positive match,gpt_resolution llm match,gpt_resolution gt match,gpt_ambiguity similarity match,gpt_resolution similarity match
"show me a list of the tripe that take longer than 1,000 minutes",,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the relationship between age and travel time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do you know of any trip that would take longer than 1000 minutes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me a list of neighborhoods with the number of male births from least to most,,,Ambiguity found by gt only,,,Resolution found by gt only,,
show me the distribution of births across all districts in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
let me know if there are groups of neighborhoods with similar birth gender ratios,,Ambiguity found by llm only,,,Resolution found by llm only,,,
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.17608668,0.1909
which neighborhood in ciutat vella has more than 100 females born in the year 2013,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"barcelona's districts, please list each",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the distribution of all births in all districts between 2013 and 2017,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what neighborhood had 56 boys born in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a correlation between acceleration and horsepower,,,,,,,,
how many heavy cars are in the dataset,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.77981126,0.43027186
are there any american 5 cylinder cars,,,,,,,,
how does displacement relate to fuel economy for cars from europe v usa,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which cylinder cars have the highest fuel economy,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which countries have the most cars in this dataset,,,,,,,,
which countries have the highest acceleration for cars of different cylinders,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how do the horsepowers of the cars from different regions change with years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
the distribution of the number of cylinders of cars based on different origins,,,,,,,,
what is the correlation between displacement and mpg of cars with different origins,,,,,,,,
count the number of cars based on their origins,,,,,,,,
what is the correlation between horsepower and acceleration,,,,,,,,
is there a correlation between cars' horsepower and acceleration,,,,,,,,
"how does displacement relate to mpg for individual models, partitioned by country",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how does weight relate to acceleration for car models, small multiples by origin",,,,,,,,
how does horsepower relate to acceleration for individual car models,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"compare the number of models in usa, japan and europe",,Ambiguity found by llm only,,,Resolution found by llm only,,,
does higher horsepower mean lower acceleration,,,,,,,,
how many cylinders do cars manufactured in different countries have,,Ambiguity found by llm only,,,Resolution found by llm only,,,
compare car cylinder count against acceleration across countries,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many cars do each country manufacture,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the mileage for cars based on the number of cylinders present,,,Ambiguity found by gt only,,,Resolution found by gt only,,
does higher cylinder count mean mean lower mileage,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.52131534,0.20967887
how does mileage relate to cylinder count,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the average mpg for different cylinders,,,,,,,,
what is the relation between horsepower and acceleration,,,,,,,,
how weight varies each year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how is acceleration related to horsepower,,,,,,,,
how has horsepower changed over time by country,,,,,,,,
have cars gotten lighter over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many models are proudced by each country,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average weight of cars over time,,,,,,,,
what is the distribution of weight across all cars,,,,,,,,
how much do various cars weigh,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the range of weights for all cars,,,,,,,,
where do the cars originate from,,,,,,,,
how has avg (horsepower) evolved over time | segregate it by the car origin,,,,,,,,
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does avg (weight) evolve over the years,,,,,,,,
how does the acceleration of cars from different countries vary by the number of cylinders,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does acceleration vary by weight for cars from different regions,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average mpg for cars with different cylinders,,,,,,,,
how does mpg vary by the number of cylinders in a car,,,,,,,,
how does acceleration change with horsepower,,,,,,,,
how does acceleration behave compared to horsepower,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many cars are from each region,,,,,,,,
"how does mpg compare to displacement, broken out by region",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"for each region, how does a car's mpg vary with displacement",,,,,,,,
how has horsepower changed over time in each region,,,,,,,,
what is the breakdown of cars by the number of cylinders in each region,,,,,,,,
how many cars have various numbers of cylinders in each region,,,,,,,,
what is the average weight of cars by model year,,,,,,,,
how has the average weight of cars changed over the years,,,,,,,,
how can the population of ashley be illustrated to show distribution across five years,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.33162147,0.3240226
give me the average population rating for ashley in the year 2000,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.62570506,0.6433202
identify the county that has the least population each year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average population in 2000,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.70505106,0.6027794
is there a regional concentration trend in gdp development,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6358339,0.252619
how are gdp and mteu correlated,,,,,,,,
is there an outlier within the value distribution of albinism that causes the result to be skewed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"find all the types of genetic diseases with greater than 1,000 patients",,,,,,,,
tell me the maximum and minimum number of patients with autism across all regions,,,,,,,,
what is the spatial and temporal correlation of albinism,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.63342,0.4466468
does this data represent outliers in the number of patients,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.49481666,0.63033116
take out the regions with a number of patients larger than 500,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"looking at the number of people in all regions with a visual impairment, what is the median",,,,,,,,
does the value distribution of albinism look skewed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there an obvious clustering,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6713522,0.24925976
kindly rate the regions on the basis of the number of patients,,Ambiguity found by llm only,,,Resolution found by llm only,,,
give me the movie that received the most nominations,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.43527007,0.35122415
can you organize the results of the table by sorting the list according to the age of the stars,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.41908684,0.20112845
can you list all the results in the table about the movie ' about  ',,,,,,,,
what was the gender of all actors among all the final winners in the 60th ceremony,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.51463306,0.31130704
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you list all the results in the table about the movie ' about schmidt ',,,,,,,,
i would like to review the dispersement of the amount of nominations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4661349,0.62849283
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",,Ambiguity found by llm only,,,Resolution found by llm only,,,
which actor was nominated for the most awards,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can the actors nationality impact the outcome,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6464467,0.05093969
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of movies released in the year 1998,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me what movie won best original score in a motion picture in 1997,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between the nomination and the age of a star,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.59030914,0.32812497
tell me the distribution for the book ratings,,,,,,,,
can you rearrange the table by book rating in descending order,,,,,,,,
what books have low ratings that seem suspect,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.83349013,0.61299324
tell me the book ratings distribution,,,,,,,,
which author has worked with dark horse comics most frequently,,Ambiguity found by llm only,,,Resolution found by llm only,,,
please go and get all of the books written in english,,,,,,,,
are there outliers in the book ratings,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"of fiction books, which are written in english",,,,,,,,
how many books have been released by dark horse comics,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the most expensive book and who published it,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.51876056,0.47673094
show a list of similarly rated books,,Ambiguity found by llm only,,,Resolution found by llm only,,,
produce a list of book titles published during the current year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
dark horse comic has how many books,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of categories,,,,,,,,
can you tell me the total number of categories,,,,,,,,
what's the size of ' kids paint free- drawing fun ',,Ambiguity found by llm only,,,Resolution found by llm only,,,
does a app exist that is much different than the others,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.44758707,
what is the total amount of genres,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the title of the biggest app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what apps have a perfect rating and a lot of reviews,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6275493,0.470816
see if you can locate the most recent gaming app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me free or paid apps have a higher mean rating,,,,,,,,
which genres are included in the dataset,,,,,,,,
which apps have support for versions of android lower than 40,,,,,,,,
describe shape of the distribution for the number of installations,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the app that costs the most,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there a relationship between the android version of an app and its installations,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the most recent version of androids ' discover color ',Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6831399,0.7039139
"when taking different android versions into account, does that have any impact on installation",,Ambiguity found by llm only,,,Resolution found by llm only,,,
give me a list of all the free business apps that have received rating that were higher than a 45,,,,,,,,
can you tell me the attribute 'rating ' be affected 'installation,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the price distribution in beauty apps,,,,,,,,
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the app with the most abnormal pattern,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7298411,0.64685893
are there an unusually high number of reviews for any of the apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the distribution of the number based on shape of installations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.29555845,0.12040493
is there an effect on price caused by the app's genre,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there a correlation between apps with more installations and higher ratings,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"tell me the most pricey apps by release date, recent to oldest",,Ambiguity found by llm only,,,Resolution found by llm only,,,
find out any app that is distinctive from the rest,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.19383232,0.5608774
list the top 10 gaming apps sorted from highest to lowest installations,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me the price distribution of all the beauty apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
name any apps that can support any version of android lower than 40,,,,,,,,
what differences are there among the students who acquired more than 270 points between 2010-2019,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7645564,0.25541875
tell me all of the categories of grade types,,,,,,,,
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what did the majority of students receive as a grade,,Ambiguity found by llm only,,,Resolution found by llm only,,,
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"show me the scope, among all the students, of the cw2 score",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in cw1, how many students achieved the feat of 100%, or full marks",,,,,,,,
rank the grades from highest to lowest according to the average score,,,,,,,,
can you tell me the median score of the cw1 class,,,,,,,,
do you know the median score of all students in cw1,,,,,,,,
how many students received an a,,,,,,,,
select all cw1 scores not less than 80%,,,,,,,,
arrange the students by grade and furnish me with a list,,,,,,,,
what is the distribution of the total points of the students,,,,,,,,
was the same midterm exam given to velma paul and glynis caine,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.22579874,0.19026601
what is the relationship between level of education and crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.69915533,0.73044264
are there any visible trends in violent crime rates over the time period,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.8139234,0.6429533
what is the most frequent place of violent crime,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there any correlations between crime types and geographic location,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5384407,0.38702703
what is the distribution for non-violent crimes based on age,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7010915,0.35462323
are there any correlations in violent or non-violent crimes based on congressional district and year,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7269019,0.5212604
is there a somewhat even distribution between the year and congressional district,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6092385,0.33603862
what city has the highest crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.75306076,0.525591
what’s the frequency of gun violence incidents with multiple victims,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many gun violence incidents are there each year,,,,,,,,
are there any significant correlations between any 2 variables in the dataset,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),,Ambiguity found by llm only,,,Resolution found by llm only,,,
what鈥檚 the frequency of gun violence incidents with multiple victims,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are males or females more likely to die of gun violence,,,,,,,,
is one sex more likely to perpetrate gun violence,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is more gun violence committed with stolen guns or non stolen guns,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how have homicide rates increased over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what type of gun violence has seen the most growth over the years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are most gun death because of suicide,,Ambiguity found by llm only,,,Resolution found by llm only,,,
did most gun violence happen inside home,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between education levels and suicide rates,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which state/year has the most gun deaths,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"according to population, what is the rank of each of region",,,,,,,,
what is the number of hospitals located in manyara,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which 10 regions have the most health centers,,,,,,,,
look up regions that names start with the letter a,,,,,,,,
make a list of the number of total hfs in descending order,,,,,,,,
what is the average count of hospitals,,,,,,,,
what is the number of clinics that are in mara,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the distribution of the entire hfs,,,Ambiguity found by gt only,,,Resolution found by gt only,,
which region has the lowest population ratio of hf,,,,,,,,
enter the regions from this table,,,,,,,,
look for the region that has the most people living in it,,,,,,,,
remove any regions with a population ratio of hf lower than 15,,,,,,,,
the population range needs to be discovered,,,,,,,,
do any regions have their population ratio over 20 hf,,,,,,,,
"when the score difference is more than 5, please list the extreme matches to this",,Ambiguity found by llm only,,,Resolution found by llm only,,,
please indicate the friendly tournament matches in which the home team beat the away team,,,,,,,,
tell me all the tournament matches that the home team won against the away team,,,,,,,,
which group of nations won the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"based on the number of matches, can you tell me what the distribution of cities is",,,,,,,,
what group of nations of have the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what countries have won a similar number of games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do you know which videos have more than 100 tags,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in the videos by ' eminemvevo ', what are the average number of comments made",,,,,,,,
which videos are missing thumbnail links,,,,,,,,
show me the video with the highest number of tags,,Ambiguity found by llm only,,,Resolution found by llm only,,,
indicate the number of likes that ' plush- bad unboxing fan mail ' receives,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the number if likes from the ' plush- bad unboxing fan mail ' video,,Ambiguity found by llm only,,,Resolution found by llm only,,,
discover the most liked removed video,,,,,,,,
are there are special characters included in the title,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do videos with longer titles get more attention,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me about the ' plush- bad unboxing fan mail ' video,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you show me how the likes are distributed,,,,,,,,
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.49097037,0.31120545
does life expectancy have any relation with the percentage of smokers,,,,,,,,
is the male to female ratio more imbalanced in the last decade in russia,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4151833,0.64499784
is the speed of economic development relative to the population of each country,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5049155,0.46275687
show me the gdp ranking of european countries,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5120121,0.3892644
"to cluster the states in the us, i wish to use middle income",,Ambiguity found by llm only,,,Resolution found by llm only,,,
do all the countries in africa have a lower average pci than all the countries in europe,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.3934794,0.3058374
could you tell me the continental location of the poorest ( lowest income ) country,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5301132,0.41882765
"when looking at the average income in european countries, what is the variance",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5234884,0.33329806
what are the minimum and maximum populations of the chinese provinces,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.53547007,0.22896597
what is the average height of the floors of these buildings,,,,,,,,
compare the number of tall buildings in hong kong with taiwan,,,,,,,,
compare the number of tall buildings in hong kong with taiwan,,,,,,,,
what location has the highest number of tall buildings,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.45865017,0.47567526
"provide the total sum of all the separated, divorced, and widowed people in lindi",,Ambiguity found by llm only,,,Resolution found by llm only,,,
does simiyu have a similar structure of peope as that of katavi,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5560794,0.23289801
can you tell me how mara attributes are distributed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is the total attribute of one area equal to the sum of the other attributes in any area,,Ambiguity found by llm only,,,Resolution found by llm only,,,
relationship between imdb rating and rotten tomatoes rating,,,,,,,,
what's the production budget for movies in different years,,,,,,,,
movie gross and budget relationship based on genre,,,,,,,,
show me imdb rating versus rotten tomatoes rating,,,,,,,,
what creative type of movie had the highest production budget for each content rating,,,,,,,,
what is the relationship between production budget and worldwide gross for each major genre,,,,,,,,
what is the relationship between release year and average production budget,,,,,,,,
what major genre had the highest average worldwide gross,,,,,,,,
what major genre had the lowest average worldwide gross,,,,,,,,
how much did average worldwide gross vary by major genre,,,,,,,,
how many movies are there are of each creative type,,,,,,,,
which creative type had the most movies,,,,,,,,
which creative type had the fewest movies,,,,,,,,
what is the total worldwide gross for each major genre across time,,,,,,,,
is there a relationship between production budget and worldwide gross for each content rating,,,,,,,,
what is the distribution of running times for each movie,,,,,,,,
is there a relationship between imdb rating and rotten tomatoes rating,,,,,,,,
movie run time distribution,,,,,,,,
how production budget changes over release years,,,,,,,,
what was the average production budget of movies by year,,,,,,,,
"what's the average production budget of the different rated movies, separated by creative type",,,Ambiguity found by gt only,,,Resolution found by gt only,,
which genre movie makes most worldwide gross,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are imdb rating and rotten tomatoes rating related,,,,,,,,
what is the worldwide gross distribution per genre,,,,,,,,
what's the breakdown of production budget by creative type per content rating,,,,,,,,
how does rotten tomatoes rating change as imdb rating,,,,,,,,
what is the total worldwide gross earned by each major genre and content rating,,,,,,,,
"for each genre and rating, what is the total world-wide gross earnings",,,,,,,,
how much did each type of movie earn in across the whole world,,,,,,,,
how much money did movies of each genre and rating make,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"what was the average budget for each content rating and creative type, as multiple column charts",,,,,,,,
what is the average production budget in each year,,,,,,,,
compare imdb rating to rotten tomatoes rating,,,,,,,,
which creative types have the most movies,,,,,,,,
"on average, how much was earned by movies of each genre",,,,,,,,
how many movies are of each length,,,,,,,,
help me see outliers in imdb and rotten tomatoes ratings,,,,,,,,
what was the average worldwide gross of movies by genre,,,,,,,,
how much did major genres gross in total,,,,,,,,
gross across genres regarding content rating,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the distribution of running times by movie,,,,,,,,
how many movies are there in 20 minute bins of running time,,,,,,,,
how many movies are there for each creative type,,,,,,,,
show me the variation in the amount ordered by different entities in different orders,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.58151424,0.1960488
worldwide gross for each genre for each year 1995 to now,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"cumulative gross for each content rating, by major genre",,,,,,,,
relation between worldwide gross and production budget for each major genre,,,,,,,,
which position has the highest average of playing time,,,Ambiguity found by gt only,,,Resolution found by gt only,,
name movies released in 2017,,,,,,,,
is the normal distribuition satisfied by the length of the movies,,Ambiguity found by llm only,,,Resolution found by llm only,,,
sort the movies by length,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how long is the run time of average r-rated movies,,,Ambiguity found by gt only,,,Resolution found by gt only,,
give me the numbers of movies that were released in 2017,,,,,,,,
is there an average run time for movies,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is the running time of movies recently longer than it used to be,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do movie tags and duration have a connection,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.20729554,0.6060292
determine if the running time of movies has increased in recent years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
