mixtral_query,mixtral_positive match,mixtral_llm match,mixtral_gt match,mixtral_resolution positive match,mixtral_resolution llm match,mixtral_resolution gt match,mixtral_ambiguity similarity match,mixtral_resolution similarity match
the distribution of the number of cylinders of cars based on different origins,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between displacement and mpg of cars with different origins,,,,,,,,
count the number of cars based on their origins,,,,,,,,
what is the correlation between horsepower and acceleration,,,,,,,,
is there a correlation between cars' horsepower and acceleration,,,,,,,,
"how does displacement relate to mpg for individual models, partitioned by country",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how does weight relate to acceleration for car models, small multiples by origin",,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does horsepower relate to acceleration for individual car models,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"compare the number of models in usa, japan and europe",,,,,,,,
does higher horsepower mean lower acceleration,,,,,,,,
how many cylinders do cars manufactured in different countries have,,,,,,,,
compare car cylinder count against acceleration across countries,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many cars do each country manufacture,,,,,,,,
what's the mileage for cars based on the number of cylinders present,,,Ambiguity found by gt only,,,Resolution found by gt only,,
does higher cylinder count mean mean lower mileage,,,Ambiguity found by gt only,,,Resolution found by gt only,,
how does mileage relate to cylinder count,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the average mpg for different cylinders,,,,,,,,
what is the relation between horsepower and acceleration,,,,,,,,
how weight varies each year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how is acceleration related to horsepower,,,,,,,,
how has horsepower changed over time by country,,Ambiguity found by llm only,,,Resolution found by llm only,,,
have cars gotten lighter over time,,,,,,,,
how many models are proudced by each country,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average weight of cars over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the distribution of weight across all cars,,,,,,,,
how much do various cars weigh,,,,,,,,
what is the range of weights for all cars,,,,,,,,
where do the cars originate from,,,,,,,,
how has avg (horsepower) evolved over time | segregate it by the car origin,,Ambiguity found by llm only,,,Resolution found by llm only,,,
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does avg (weight) evolve over the years,,,,,,,,
how does the acceleration of cars from different countries vary by the number of cylinders,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does acceleration vary by weight for cars from different regions,,Ambiguity found by llm only,,,,,,
what is the average mpg for cars with different cylinders,,,,,,,,
how does mpg vary by the number of cylinders in a car,,,,,,,,
how does acceleration change with horsepower,,,,,,,,
how does acceleration behave compared to horsepower,,,,,,,,
how many cars are from each region,,,,,,,,
"how does mpg compare to displacement, broken out by region",,,,,,,,
"for each region, how does a car's mpg vary with displacement",,Ambiguity found by llm only,,,Resolution found by llm only,,,
how has horsepower changed over time in each region,,,,,,,,
what is the breakdown of cars by the number of cylinders in each region,,,,,,,,
how many cars have various numbers of cylinders in each region,,,,,,,,
what is the average weight of cars by model year,,,,,,,,
how has the average weight of cars changed over the years,,,,,,,,
how can the population of ashley be illustrated to show distribution across five years,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5472535,0.45879972
give me the average population rating for ashley in the year 2000,,,Ambiguity found by gt only,,,Resolution found by gt only,,
identify the county that has the least population each year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average population in 2000,,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a regional concentration trend in gdp development,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5832967,0.16649786
how are gdp and mteu correlated,,,,,,,,
is there an outlier within the value distribution of albinism that causes the result to be skewed,,,,,,,,
"find all the types of genetic diseases with greater than 1,000 patients",,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me the maximum and minimum number of patients with autism across all regions,,,,,,,,
what is the spatial and temporal correlation of albinism,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.637537,0.49167842
does this data represent outliers in the number of patients,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.25081322,
take out the regions with a number of patients larger than 500,,,,,,,,
"looking at the number of people in all regions with a visual impairment, what is the median",,,,,,,,
does the value distribution of albinism look skewed,,,,,,,,
is there an obvious clustering,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.693756,
kindly rate the regions on the basis of the number of patients,,Ambiguity found by llm only,,,Resolution found by llm only,,,
give me the movie that received the most nominations,,,,,,,,
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5236552,0.101105385
can you organize the results of the table by sorting the list according to the age of the stars,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.5182226,
can you list all the results in the table about the movie ' about  ',,,,,,,,
what was the gender of all actors among all the final winners in the 60th ceremony,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.24707998,0.064246535
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you list all the results in the table about the movie ' about schmidt ',,,,,,,,
i would like to review the dispersement of the amount of nominations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.32551476,0.6459739
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",,Ambiguity found by llm only,,,Resolution found by llm only,,,
which actor was nominated for the most awards,,,,,,,,
can the actors nationality impact the outcome,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.48908654,-0.057729077
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of movies released in the year 1998,,,,,,,,
can you tell me what movie won best original score in a motion picture in 1997,,,,,,,,
what is the correlation between the nomination and the age of a star,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.64114267,
tell me the distribution for the book ratings,,,,,,,,
can you rearrange the table by book rating in descending order,,,,,,,,
what books have low ratings that seem suspect,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.62378633,0.66346264
tell me the book ratings distribution,,,,,,,,
which author has worked with dark horse comics most frequently,,Ambiguity found by llm only,,,,,,
please go and get all of the books written in english,,,,,,,,
are there outliers in the book ratings,,,,,,,,
"of fiction books, which are written in english",,,,,,,,
how many books have been released by dark horse comics,,,,,,,,
what is the most expensive book and who published it,,,Ambiguity found by gt only,,,Resolution found by gt only,,
show a list of similarly rated books,,Ambiguity found by llm only,,,Resolution found by llm only,,,
produce a list of book titles published during the current year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
dark horse comic has how many books,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of categories,,,,,,,,
what's the size of ' kids paint free- drawing fun ',,,,,,,,
does a app exist that is much different than the others,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.4908682,
what is the total amount of genres,,,,,,,,
what is the title of the biggest app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what apps have a perfect rating and a lot of reviews,,,Ambiguity found by gt only,,,Resolution found by gt only,,
see if you can locate the most recent gaming app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me free or paid apps have a higher mean rating,,,,,,,,
which genres are included in the dataset,,,,,,,,
which apps have support for versions of android lower than 40,,,,,,,,
describe shape of the distribution for the number of installations,,,,,,,,
show me the app that costs the most,,,,,,,,
is there a relationship between the android version of an app and its installations,,,,,,,,
show me the most recent version of androids ' discover color ',Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.881833,
"when taking different android versions into account, does that have any impact on installation",,,,,,,,
give me a list of all the free business apps that have received rating that were higher than a 45,,,,,,,,
can you tell me the attribute 'rating ' be affected 'installation,,,,,,,,
what's the price distribution in beauty apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",,,,,,,,
what is the app with the most abnormal pattern,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7803581,0.5979821
are there an unusually high number of reviews for any of the apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the distribution of the number based on shape of installations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.32843265,0.100052506
is there an effect on price caused by the app's genre,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there a correlation between apps with more installations and higher ratings,,,,,,,,
"tell me the most pricey apps by release date, recent to oldest",,,,,,,,
find out any app that is distinctive from the rest,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5445216,0.43011642
list the top 10 gaming apps sorted from highest to lowest installations,,,,,,,,
can you tell me the price distribution of all the beauty apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
name any apps that can support any version of android lower than 40,,,,,,,,
what differences are there among the students who acquired more than 270 points between 2010-2019,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.46018606,0.3663317
tell me all of the categories of grade types,,,,,,,,
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what did the majority of students receive as a grade,,,,,,,,
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"show me the scope, among all the students, of the cw2 score",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in cw1, how many students achieved the feat of 100%, or full marks",,,,,,,,
rank the grades from highest to lowest according to the average score,,,,,,,,
can you tell me the median score of the cw1 class,,,,,,,,
do you know the median score of all students in cw1,,,,,,,,
how many students received an a,,,,,,,,
select all cw1 scores not less than 80%,,,,,,,,
arrange the students by grade and furnish me with a list,,,,,,,,
what is the distribution of the total points of the students,,,,,,,,
was the same midterm exam given to velma paul and glynis caine,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.13418609,0.18117386
what is the relationship between level of education and crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6142372,0.41045064
are there any visible trends in violent crime rates over the time period,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the most frequent place of violent crime,,,,,,,,
are there any correlations between crime types and geographic location,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the distribution for non-violent crimes based on age,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.55648637,0.23385666
are there any correlations in violent or non-violent crimes based on congressional district and year,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what city has the highest crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.67888814,0.47882915
what’s the frequency of gun violence incidents with multiple victims,,,,,,,,
how many gun violence incidents are there each year,,,,,,,,
are there any significant correlations between any 2 variables in the dataset,,,,,,,,
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),,,,,,,,
what鈥檚 the frequency of gun violence incidents with multiple victims,,,,,,,,
are males or females more likely to die of gun violence,,,,,,,,
how have homicide rates increased over time,,,,,,,,
what type of gun violence has seen the most growth over the years,,,,,,,,
are most gun death because of suicide,,,,,,,,
did most gun violence happen inside home,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between education levels and suicide rates,,,,,,,,
which state/year has the most gun deaths,,,,,,,,
"according to population, what is the rank of each of region",,,,,,,,
what is the number of hospitals located in manyara,,,,,,,,
which 10 regions have the most health centers,,,,,,,,
look up regions that names start with the letter a,,,,,,,,
make a list of the number of total hfs in descending order,,,,,,,,
what is the average count of hospitals,,,,,,,,
what is the number of clinics that are in mara,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the distribution of the entire hfs,,,Ambiguity found by gt only,,,Resolution found by gt only,,
which region has the lowest population ratio of hf,,,,,,,,
enter the regions from this table,,,,,,,,
look for the region that has the most people living in it,,,,,,,,
remove any regions with a population ratio of hf lower than 15,,,,,,,,
the population range needs to be discovered,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do any regions have their population ratio over 20 hf,,,,,,,,
"when the score difference is more than 5, please list the extreme matches to this",,Ambiguity found by llm only,,,Resolution found by llm only,,,
please indicate the friendly tournament matches in which the home team beat the away team,,,,,,,,
tell me all the tournament matches that the home team won against the away team,,,,,,,,
which group of nations won the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"based on the number of matches, can you tell me what the distribution of cities is",,,,,,,,
what group of nations of have the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what countries have won a similar number of games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.46669215,
does life expectancy have any relation with the percentage of smokers,,,,,,,,
is the male to female ratio more imbalanced in the last decade in russia,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6824281,0.32523796
is the speed of economic development relative to the population of each country,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.2779738,0.09185554
show me the gdp ranking of european countries,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.40968803,
"to cluster the states in the us, i wish to use middle income",,Ambiguity found by llm only,,,Resolution found by llm only,,,
do all the countries in africa have a lower average pci than all the countries in europe,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.31653568,0.08781324
could you tell me the continental location of the poorest ( lowest income ) country,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"when looking at the average income in european countries, what is the variance",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.59397966,0.26192665
what are the minimum and maximum populations of the chinese provinces,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.3580696,
what is the average height of the floors of these buildings,,,,,,,,
compare the number of tall buildings in hong kong with taiwan,,,,,,,,
compare the number of tall buildings in hong kong with taiwan,,,,,,,,
what location has the highest number of tall buildings,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"provide the total sum of all the separated, divorced, and widowed people in lindi",,Ambiguity found by llm only,,,Resolution found by llm only,,,
does simiyu have a similar structure of peope as that of katavi,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.45188165,0.17240667
can you tell me how mara attributes are distributed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is the total attribute of one area equal to the sum of the other attributes in any area,,,,,,,,
relationship between imdb rating and rotten tomatoes rating,,,,,,,,
what's the production budget for movies in different years,,,,,,,,
movie gross and budget relationship based on genre,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me imdb rating versus rotten tomatoes rating,,,,,,,,
what creative type of movie had the highest production budget for each content rating,,,,,,,,
what is the relationship between production budget and worldwide gross for each major genre,,,,,,,,
what is the relationship between release year and average production budget,,,,,,,,
what major genre had the highest average worldwide gross,,,,,,,,
what major genre had the lowest average worldwide gross,,,,,,,,
how much did average worldwide gross vary by major genre,,,,,,,,
how many movies are there are of each creative type,,,,,,,,
which creative type had the most movies,,,,,,,,
which creative type had the fewest movies,,,,,,,,
what is the total worldwide gross for each major genre across time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there a relationship between production budget and worldwide gross for each content rating,,,,,,,,
what is the distribution of running times for each movie,,,,,,,,
is there a relationship between imdb rating and rotten tomatoes rating,,,,,,,,
movie run time distribution,,,,,,,,
how production budget changes over release years,,,,,,,,
what was the average production budget of movies by year,,,,,,,,
"what's the average production budget of the different rated movies, separated by creative type",,,Ambiguity found by gt only,,,Resolution found by gt only,,
which genre movie makes most worldwide gross,,,,,,,,
are imdb rating and rotten tomatoes rating related,,,,,,,,
what is the worldwide gross distribution per genre,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the breakdown of production budget by creative type per content rating,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does rotten tomatoes rating change as imdb rating,,,,,,,,
what is the total worldwide gross earned by each major genre and content rating,,,,,,,,
"for each genre and rating, what is the total world-wide gross earnings",,Ambiguity found by llm only,,,Resolution found by llm only,,,
how much did each type of movie earn in across the whole world,,,,,,,,
how much money did movies of each genre and rating make,,,,,,,,
"what was the average budget for each content rating and creative type, as multiple column charts",,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average production budget in each year,,,,,,,,
compare imdb rating to rotten tomatoes rating,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which creative types have the most movies,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"on average, how much was earned by movies of each genre",,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many movies are of each length,,,,,,,,
help me see outliers in imdb and rotten tomatoes ratings,,,,,,,,
what was the average worldwide gross of movies by genre,,,,,,,,
how much did major genres gross in total,,Ambiguity found by llm only,,,Resolution found by llm only,,,
gross across genres regarding content rating,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the distribution of running times by movie,,,,,,,,
how many movies are there in 20 minute bins of running time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many movies are there for each creative type,,,,,,,,
show me the variation in the amount ordered by different entities in different orders,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.48717117,0.14361367
worldwide gross for each genre for each year 1995 to now,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"cumulative gross for each content rating, by major genre",,,,,,,,
relation between worldwide gross and production budget for each major genre,,,,,,,,
which position has the highest average of playing time,,,Ambiguity found by gt only,,,Resolution found by gt only,,
name movies released in 2017,,,,,,,,
is the normal distribuition satisfied by the length of the movies,,,,,,,,
sort the movies by length,,,,,,,,
how long is the run time of average r-rated movies,,,Ambiguity found by gt only,,,Resolution found by gt only,,
give me the numbers of movies that were released in 2017,,,,,,,,
is there an average run time for movies,,,,,,,,
is the running time of movies recently longer than it used to be,,,,,,,,
do movie tags and duration have a connection,,,Ambiguity found by gt only,,,Resolution found by gt only,,
determine if the running time of movies has increased in recent years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the dates that netflix released movies,,,Ambiguity found by gt only,,,Resolution found by gt only,,
does any movies not have a description,,,,,,,,
at what point was data added to the table for netflix,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"what is the percentage of the white population in blount county, alabama",,,,,,,,
"what percentage of the blount county, alabama population is white",,,,,,,,
sort all the counties in connecticut by the percentages of the hispanic population,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me which county has the greatest number of female residents,,,,,,,,
calculate the average black population for each state,,,,,,,,
i want to see the distribution of the school rankings in geita in 2006,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do the pass rate and the ownership of schools have any correlation,,,,,,,,
create a list of schools showing the descending order by change_p,,,,,,,,
can you provide a list of school names in geita,,,,,,,,
determine if there are any schools in neighboring regions that have similar avg_m,,Ambiguity found by llm only,,,Resolution found by llm only,,,
list the values of kwema modern pr school's change_p in all the years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what schools have similar avg_m in the neighboring region,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which of these school have a pass rate of over 90,,,,,,,,
they want to know what tactic is most effective during football,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4093734,0.5050049
were you aware of the most recent news,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.8891614,
the clubs should be arranged by their shooting attempts,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what was the total amount of goals scored in the game that liverpool played in,,Ambiguity found by llm only,,,,,,
the games are sorted by experts by their date,,,Ambiguity found by gt only,,,Resolution found by gt only,,
rank these clubs by their shooting attempts,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.54194355,0.3700407
are the students who are younger more likely to use wechat,,,,,,,,
can lower study times among students cause greater failure rates in class,,,,,,,,
can you name an unusual reason for choosing this school,,,,,,,,
could you show me the list sorted by study time ( longest to shortest ),,,,,,,,
find the distribution by age,,,,,,,,
can you tell me which students have fathers that are teachers,,,,,,,,
retrieve the students with fathers who work as teachers,,,,,,,,
tell me the youngest students in the dataset,,,,,,,,
tell me the types of jobs the student's mothers have,,,,,,,,
i 'm wondering would the travel time decrease for students if they spent more time studying,,Ambiguity found by llm only,,,Resolution found by llm only,,,
would more time spent on studying reduce travel time for students,,,,,,,,
do countries with high populations wish to slow down population growth,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.67173696,0.12789395
can you tell me the state which may have the largest average population in the next year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you see any abnormalities in the suicide rates,,,,,,,,
name the country with the lowest suicide rate,,,,,,,,
do you know the average number of suicides in europe,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.48547542,0.36141285
are there any countries with anomalously low suicides rates,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there similarities between gdp per capita and suicide rates,,,,,,,,
were there any countries with abnormally low suicide rates,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"with the suicide larger than 100, determine the ages in albania",,,,,,,,
the country with the lowest suicide rate is,,,,,,,,
what is the distribution rate of suicide,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of all suicides in 1999,,,,,,,,
would there be any clustering of countries in terms of suicide rates,,Ambiguity found by llm only,,,Resolution found by llm only,,,
create a list showing the ages of people who committed suicide in albania,,,,,,,,
"for the gdp of china, has it gone up or down over the last decade",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"of all countries, how is the gdp distribution",,,,,,,,
has there been an increase or decrease in the gdp of china over the last 10 years,,Ambiguity found by llm only,,,,,,
how much is the average of profit of each state,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how do the company earn in each state,,,,,,,,
what were the total sales for each date in each category,,Ambiguity found by llm only,,,Resolution found by llm only,,,
