gemini_query,gemini_positive match,gemini_llm match,gemini_gt match,gemini_resolution positive match,gemini_resolution llm match,gemini_resolution gt match,gemini_ambiguity similarity match,gemini_resolution similarity match
what is the correlation between the nomination and the age of a star,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.59096646,
tell me the distribution for the book ratings,,,,,,,,
can you rearrange the table by book rating in descending order,,,,,,,,
what books have low ratings that seem suspect,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7764443,0.5361957
tell me the book ratings distribution,,,,,,,,
which author has worked with dark horse comics most frequently,,,,,,,,
please go and get all of the books written in english,,,,,,,,
are there outliers in the book ratings,,,,,,,,
"of fiction books, which are written in english",,,,,,,,
please review this dataset and tell me which authors it includes,,,,,,,,
how many books have been released by dark horse comics,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the most expensive book and who published it,,,Ambiguity found by gt only,,,Resolution found by gt only,,
show a list of similarly rated books,,,,,,,,
produce a list of book titles published during the current year,,,,,,,,
dark horse comic has how many books,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the total number of categories,,,,,,,,
can you tell me the total number of categories,,,,,,,,
what's the size of ' kids paint free- drawing fun ',,Ambiguity found by llm only,,,Resolution found by llm only,,,
does a app exist that is much different than the others,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.59279394,
what is the total amount of genres,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the title of the biggest app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what apps have a perfect rating and a lot of reviews,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6502427,0.2230293
see if you can locate the most recent gaming app,,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me free or paid apps have a higher mean rating,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which genres are included in the dataset,,,,,,,,
which apps have support for versions of android lower than 40,,,,,,,,
describe shape of the distribution for the number of installations,,,,,,,,
show me the app that costs the most,,,,,,,,
is there a relationship between the android version of an app and its installations,,,,,,,,
show me the most recent version of androids ' discover color ',Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.57981515,0.49133343
"when taking different android versions into account, does that have any impact on installation",,Ambiguity found by llm only,,,Resolution found by llm only,,,
give me a list of all the free business apps that have received rating that were higher than a 45,,,,,,,,
can you tell me the attribute 'rating ' be affected 'installation,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the price distribution in beauty apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the app with the most abnormal pattern,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.62745386,0.46471298
are there an unusually high number of reviews for any of the apps,,,,,,,,
what is the distribution of the number based on shape of installations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.33094165,0.12946957
is there an effect on price caused by the app's genre,,,,,,,,
is there a correlation between apps with more installations and higher ratings,,,,,,,,
"tell me the most pricey apps by release date, recent to oldest",,Ambiguity found by llm only,,,Resolution found by llm only,,,
find out any app that is distinctive from the rest,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.63456005,0.5174464
list the top 10 gaming apps sorted from highest to lowest installations,,,,,,,,
can you tell me the price distribution of all the beauty apps,,Ambiguity found by llm only,,,Resolution found by llm only,,,
name any apps that can support any version of android lower than 40,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what differences are there among the students who acquired more than 270 points between 2010-2019,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.103230126,
tell me all of the categories of grade types,,,,,,,,
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what did the majority of students receive as a grade,,Ambiguity found by llm only,,,Resolution found by llm only,,,
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,,,,,,,,
"show me the scope, among all the students, of the cw2 score",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in cw1, how many students achieved the feat of 100%, or full marks",,,,,,,,
rank the grades from highest to lowest according to the average score,,,,,,,,
can you tell me the median score of the cw1 class,,,,,,,,
do you know the median score of all students in cw1,,,,,,,,
how many students received an a,,Ambiguity found by llm only,,,Resolution found by llm only,,,
select all cw1 scores not less than 80%,,,,,,,,
arrange the students by grade and furnish me with a list,,,,,,,,
was the same midterm exam given to velma paul and glynis caine,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.40108478,0.15337409
what is the relationship between level of education and crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.583525,0.71379983
are there any visible trends in violent crime rates over the time period,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7273611,0.62964
what is the most frequent place of violent crime,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there any correlations between crime types and geographic location,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.40409368,0.36735672
what is the distribution for non-violent crimes based on age,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.71105206,0.20253983
are there any correlations in violent or non-violent crimes based on congressional district and year,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.71428627,0.4378114
is there a somewhat even distribution between the year and congressional district,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.60793984,0.24548662
what city has the highest crime rate,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.67383736,0.6983724
what’s the frequency of gun violence incidents with multiple victims,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many gun violence incidents are there each year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there any significant correlations between any 2 variables in the dataset,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),,,,,,,,
what鈥檚 the frequency of gun violence incidents with multiple victims,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are males or females more likely to die of gun violence,,,,,,,,
is one sex more likely to perpetrate gun violence,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is more gun violence committed with stolen guns or non stolen guns,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how have homicide rates increased over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what type of gun violence has seen the most growth over the years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are most gun death because of suicide,,Ambiguity found by llm only,,,Resolution found by llm only,,,
did most gun violence happen inside home,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the correlation between education levels and suicide rates,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which state/year has the most gun deaths,,,,,,,,
"according to population, what is the rank of each of region",,,,,,,,
what is the number of hospitals located in manyara,,,,,,,,
which 10 regions have the most health centers,,,,,,,,
look up regions that names start with the letter a,,,,,,,,
make a list of the number of total hfs in descending order,,,,,,,,
what is the average count of hospitals,,,,,,,,
what is the number of clinics that are in mara,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what's the distribution of the entire hfs,,,Ambiguity found by gt only,,,Resolution found by gt only,,
which region has the lowest population ratio of hf,,,,,,,,
enter the regions from this table,,,,,,,,
look for the region that has the most people living in it,,,,,,,,
remove any regions with a population ratio of hf lower than 15,,,,,,,,
the population range needs to be discovered,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do any regions have their population ratio over 20 hf,,,,,,,,
"when the score difference is more than 5, please list the extreme matches to this",,Ambiguity found by llm only,,,Resolution found by llm only,,,
please indicate the friendly tournament matches in which the home team beat the away team,,,,,,,,
tell me all the tournament matches that the home team won against the away team,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which group of nations won the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"based on the number of matches, can you tell me what the distribution of cities is",,,,,,,,
what group of nations of have the most games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what countries have won a similar number of games,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do you know which videos have more than 100 tags,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in the videos by ' eminemvevo ', what are the average number of comments made",,Ambiguity found by llm only,,,Resolution found by llm only,,,
filter all the videos published before yesterday,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which videos are missing thumbnail links,,Ambiguity found by llm only,,,Resolution found by llm only,,,
' plush- bad unboxing fan mail ' belongs to which specific channel,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which video has the most tags,,,,,,,,
"give me a list of videos, ordered by the number of likes, that are on the channel ' eminemvevo '",,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the video with the highest number of tags,,,,,,,,
indicate the number of likes that ' plush- bad unboxing fan mail ' receives,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the number if likes from the ' plush- bad unboxing fan mail ' video,,Ambiguity found by llm only,,,,,,
discover the most liked removed video,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there are special characters included in the title,,,,,,,,
do videos with longer titles get more attention,,,,,,,,
tell me about the ' plush- bad unboxing fan mail ' video,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you show me how the likes are distributed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.5899471,
does life expectancy have any relation with the percentage of smokers,,,,,,,,
is the male to female ratio more imbalanced in the last decade in russia,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.61847425,0.7908323
show me the gdp ranking of european countries,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4433715,0.121733084
"to cluster the states in the us, i wish to use middle income",,Ambiguity found by llm only,,,Resolution found by llm only,,,
do all the countries in africa have a lower average pci than all the countries in europe,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.33354068,0.18413277
could you tell me the continental location of the poorest ( lowest income ) country,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.56667924,0.24949966
"when looking at the average income in european countries, what is the variance",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6809119,0.34705293
what is the average height of the floors of these buildings,,,,,,,,
compare the number of tall buildings in hong kong with taiwan,,Ambiguity found by llm only,,,Resolution found by llm only,,,
compare the number of tall buildings in hong kong with taiwan,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what location has the highest number of tall buildings,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"provide the total sum of all the separated, divorced, and widowed people in lindi",,Ambiguity found by llm only,,,,,,
does simiyu have a similar structure of peope as that of katavi,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.5043918,
can you tell me how mara attributes are distributed,,Ambiguity found by llm only,,,,,,
is the total attribute of one area equal to the sum of the other attributes in any area,,,,,,,,
relationship between imdb rating and rotten tomatoes rating,,,,,,,,
what's the production budget for movies in different years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
movie gross and budget relationship based on genre,,,,,,,,
show me imdb rating versus rotten tomatoes rating,,,,,,,,
what creative type of movie had the highest production budget for each content rating,,,,,,,,
what is the relationship between production budget and worldwide gross for each major genre,,,,,,,,
what is the relationship between release year and average production budget,,,,,,,,
what major genre had the highest average worldwide gross,,,,,,,,
what major genre had the lowest average worldwide gross,,,,,,,,
how much did average worldwide gross vary by major genre,,,,,,,,
how many movies are there are of each creative type,,,,,,,,
which creative type had the most movies,,,,,,,,
which creative type had the fewest movies,,,,,,,,
what is the total worldwide gross for each major genre across time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is there a relationship between production budget and worldwide gross for each content rating,,,,,,,,
what is the distribution of running times for each movie,,,,,,,,
is there a relationship between imdb rating and rotten tomatoes rating,,,,,,,,
movie run time distribution,,,,,,,,
how production budget changes over release years,,,,,,,,
what was the average production budget of movies by year,,,,,,,,
"what's the average production budget of the different rated movies, separated by creative type",,,Ambiguity found by gt only,,,Resolution found by gt only,,
which genre movie makes most worldwide gross,,,,,,,,
are imdb rating and rotten tomatoes rating related,,,,,,,,
what is the worldwide gross distribution per genre,,,,,,,,
what's the breakdown of production budget by creative type per content rating,,,,,,,,
how does rotten tomatoes rating change as imdb rating,,,,,,,,
what is the total worldwide gross earned by each major genre and content rating,,,,,,,,
"for each genre and rating, what is the total world-wide gross earnings",,,,,,,,
how much did each type of movie earn in across the whole world,,,,,,,,
how much money did movies of each genre and rating make,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.36210105,0.066707954
"what was the average budget for each content rating and creative type, as multiple column charts",,,,,,,,
what is the average production budget in each year,,,,,,,,
compare imdb rating to rotten tomatoes rating,,,,,,,,
which creative types have the most movies,,,,,,,,
"on average, how much was earned by movies of each genre",,,,,,,,
how many movies are of each length,,,,,,,,
help me see outliers in imdb and rotten tomatoes ratings,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what was the average worldwide gross of movies by genre,,,,,,,,
how much did major genres gross in total,,Ambiguity found by llm only,,,Resolution found by llm only,,,
gross across genres regarding content rating,,,,,,,,
what's the distribution of running times by movie,,,,,,,,
how many movies are there in 20 minute bins of running time,,,,,,,,
how many movies are there for each creative type,,,,,,,,
show me the variation in the amount ordered by different entities in different orders,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4205416,0.17068589
worldwide gross for each genre for each year 1995 to now,,,,,,,,
"cumulative gross for each content rating, by major genre",,,,,,,,
relation between worldwide gross and production budget for each major genre,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which position has the highest average of playing time,,,Ambiguity found by gt only,,,Resolution found by gt only,,
name movies released in 2017,,,,,,,,
is the normal distribuition satisfied by the length of the movies,,,,,,,,
sort the movies by length,,,,,,,,
how long is the run time of average r-rated movies,,,Ambiguity found by gt only,,,Resolution found by gt only,,
give me the numbers of movies that were released in 2017,,,,,,,,
is there an average run time for movies,,,,,,,,
is the running time of movies recently longer than it used to be,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do movie tags and duration have a connection,,,Ambiguity found by gt only,,,Resolution found by gt only,,
determine if the running time of movies has increased in recent years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me the dates that netflix released movies,,,Ambiguity found by gt only,,,Resolution found by gt only,,
does any movies not have a description,,Ambiguity found by llm only,,,Resolution found by llm only,,,
at what point was data added to the table for netflix,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.60315806,0.45476872
"what is the percentage of the white population in blount county, alabama",,,,,,,,
"what percentage of the blount county, alabama population is white",,,,,,,,
sort all the counties in connecticut by the percentages of the hispanic population,,Ambiguity found by llm only,,,,,,
tell me which county has the greatest number of female residents,,,,,,,,
calculate the average black population for each state,,,,,,,,
i want to see the distribution of the school rankings in geita in 2006,,Ambiguity found by llm only,,,,,,
create a list of schools showing the descending order by change_p,,,,,,,,
can you provide a list of school names in geita,,,,,,,,
determine if there are any schools in neighboring regions that have similar avg_m,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me what peacland english medium school's change pre is in 2016,,,,,,,,
list the values of kwema modern pr school's change_p in all the years,,,,,,,,
what schools have similar avg_m in the neighboring region,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which of these school have a pass rate of over 90,,,,,,,,
they want to know what tactic is most effective during football,,,Ambiguity found by gt only,,,Resolution found by gt only,,
were you aware of the most recent news,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.92322373,
the clubs should be arranged by their shooting attempts,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.3726747,0.47050703
what was the total amount of goals scored in the game that liverpool played in,,Ambiguity found by llm only,,,Resolution found by llm only,,,
the games are sorted by experts by their date,,,Ambiguity found by gt only,,,Resolution found by gt only,,
rank these clubs by their shooting attempts,,,Ambiguity found by gt only,,,Resolution found by gt only,,
are the students who are younger more likely to use wechat,,,,,,,,
can lower study times among students cause greater failure rates in class,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you name an unusual reason for choosing this school,,Ambiguity found by llm only,,,Resolution found by llm only,,,
could you show me the list sorted by study time ( longest to shortest ),,,,,,,,
find the distribution by age,,,,,,,,
can you tell me which students have fathers that are teachers,,,,,,,,
retrieve the students with fathers who work as teachers,,,,,,,,
tell me the youngest students in the dataset,,,,,,,,
